epsilon	fr	nr	fn	test1	fre	nre	fne	test2
0.10	742.445605875	756.068893568	191.89331452	True	0.053435138584	0.0526411366954	0.0190595714362	False
0.20	1006.10368664	378.034446784	984.011750084	False	0.0996936947857	0.0263205683477	0.0972231863894	False
0.30	3109.11915502	252.022964523	3072.25072655	False	0.311791999376	0.0175470455651	0.314366689117	False
0.40	183.111539376	189.017223392	45.8188827814	True	0.0127760022268	0.0131602841738	0.00450716188757	True
0.50	1046.55255562	151.213778714	1020.22798556	False	0.10462058945	0.0105282273391	0.104588345736	False
0.60	122.777386534	126.011482261	30.7450880255	True	0.00860533737776	0.00877352278256	0.0029304616832	True
0.70	3536.91537365	108.009841938	3547.46565591	False	0.356537843961	0.00752016238505	0.357609356992	False
0.80	2017.14372077	94.508611696	2025.7030047	False	0.203640285606	0.00658014208692	0.203823935909	False
0.90	1506.12313678	84.0076548409	1513.40422475	False	0.152158050813	0.00584901518838	0.152103132914	False
1.00	997.515632842	75.6068893568	1003.40729108	False	0.100908248427	0.00526411366954	0.100644987328	False
